id,short_name,full_name,comment
da0c16f7-60e1-4cac-8f68-ddfa83e0e653,IMR,Institute of Marine Research,
6915c6a7-b683-4112-a525-8ef0cf18e320,NORD,Nord University,
fc7c990d-7425-4540-99d3-f121615a861c,NIVA,Norwegian Institute for Water Research,
84c8be62-dd02-4fda-8fac-6fe687b97c9b,MET,Norwegian Meteorological Institute,
22a82b28-2308-4cdd-abd0-8690d81cfe1a,NPI,Norwegian Polar Institute,
4a8000d6-9f58-4002-9f34-4c8d3ef8063b,NORCE,Norwegian Research Centre AS,
1c37c4cb-46b0-4b41-aef2-763764b0a26d,NTNU,Norwegian University of Science and Technology,
e7472be9-2f44-44f1-bcba-688652c55f32,UNIS,University Centre in Svalbard,
fe924b74-fe92-49b3-ac3b-dabadd546ba1,UIA,University of Agder,
f2456f5a-ef2b-4432-b0a5-01c326c305c4,UIB,University of Bergen,
5f7dc44f-03bf-4ecb-9af6-fb4ac9711df6,UIO,University of Oslo,
346f0662-183e-482a-860f-9c5bdd7f8af5,UIT,University of Tromsø,
